id,source,original_text,type
0,IA_8.pdf_p1,Reinforcement learning (II) IA 2025/2026,narrative
1,IA_8.pdf_p2,"Con¸tinut Introducere ˆInv˘atarea pasiv˘a , Bazat˘a pe model: ADP (Adaptive Dynamic Programming) F˘ar˘a model: Estimarea direct˘a a utilit˘atii , F˘ar˘a model: ˆInv˘atarea diferentelor temporale , , ˆInv˘atarea activ˘a , Q-learning Deep Q-learning Concluzii FII,UAIC Curs8 IA2025/2026 2/41",narrative
2,IA_8.pdf_p2,Bazat˘a pe model is ADP (Adaptive Dynamic Programming),diagram_extracted
3,IA_8.pdf_p2,F˘ar˘a model is Estimarea direct˘a a utilit˘atii,diagram_extracted
4,IA_8.pdf_p2,F˘ar˘a model is diferentelor temporale,diagram_extracted
5,IA_8.pdf_p3,"Reinforcement learning ▶ Proces de decizie Markov ▶ ˆInv˘atare cuˆınt˘arire , ▶ ▶ Multimea de st˘ari S, Se bazeaz˘a pe procese de , multimea de actiuni A decizie Markov, dar: , , ▶ Modelul de tranzitii P(s′|s,a) ▶ Modelul de tranzitii este , , este cunoscut necunoscut ▶ ▶ Functia de recompens˘a R(s) Functia de recompens˘a este , , este cunoscut˘a necunoscut˘a ▶ Calculeaz˘a o politic˘a optim˘a ▶ ˆInvat˘a o politic˘a optim˘a , FII,UAIC Curs8 IA2025/2026 3/41",narrative
6,IA_8.pdf_p4,"Tipuri deˆınv˘atare cuˆınt˘arire , ▶ Pasiv˘a: agentulˆınvat˘a utilitatea de a fiˆın anumite st˘ari.",narrative
7,IA_8.pdf_p4,", Agentul execut˘a o politic˘a fix˘a si o evalueaz˘a.",narrative
8,IA_8.pdf_p4,", Agentul nu are control asupra actiunilor sale.",narrative
9,IA_8.pdf_p4,", , ▶ Activ˘a: agentul trebuie s˘aˆınvete ce s˘a fac˘a.",narrative
10,IA_8.pdf_p4,", Agentul trebuie s˘a exploreze mediul si s˘a utilizeze informatiaˆınv˘atat˘a.",narrative
11,IA_8.pdf_p4,", , , Agentulˆısi actualizeaz˘a politica pe m˘asur˘a ceˆınvat˘a.",narrative
12,IA_8.pdf_p4,", , FII,UAIC Curs8 IA2025/2026 4/41",narrative
13,IA_8.pdf_p4,Pasiv˘a is agentulˆınvat˘a utilitatea de a fiˆın anumite st˘ari.,diagram_extracted
14,IA_8.pdf_p4,Agentul nu are control asupra actiunilor sale. Aplicatii is robotic˘a.,diagram_extracted
15,IA_8.pdf_p4,Activ˘a is agentul trebuie s˘aˆınvete ce s˘a fac˘a.,diagram_extracted
16,IA_8.pdf_p5,"Tipuri deˆınv˘atare cuˆınt˘arire , ▶ Bazat˘a pe model ▶ ˆınvat˘a modelul de tranzitii si recompense, si , , , , ▶ ˆıl foloseste pentru a descoperi politica optim˘a , ▶ F˘ar˘a model: descoper˘a politica optim˘a f˘ar˘a aˆınv˘ata modelul , FII,UAIC Curs8 IA2025/2026 5/41",narrative
17,IA_8.pdf_p5,F˘ar˘a model is descoper˘a politica optim˘a f˘ar˘a aˆınv˘ata modelul,diagram_extracted
18,IA_8.pdf_p6,"Con¸tinut Introducere ˆInv˘atarea pasiv˘a , Bazat˘a pe model: ADP (Adaptive Dynamic Programming) F˘ar˘a model: Estimarea direct˘a a utilit˘atii , F˘ar˘a model: ˆInv˘atarea diferentelor temporale , , ˆInv˘atarea activ˘a , Q-learning Deep Q-learning Concluzii FII,UAIC Curs8 IA2025/2026 6/41",narrative
22,IA_8.pdf_p7,"ˆ Inv˘atarea pasiv˘a , ▶ Politica este fix˘a: ˆın starea s execut˘aˆıntotdeauna actiunea π(s) , ▶ Scopul: ˆınvat˘a cˆat de bun˘a este politica π , ▶ ˆınvat˘a utilitatea Uπ(s) , cum?",narrative
23,IA_8.pdf_p7,"execut˘a politica siˆınvat˘a din experient˘a , , , ▶ abordare similar˘a cu pasul (1) de evaluare a politicii din cadrul algoritmului Iterarea politicilor; diferenta: nu cunoastem modelul de , , tranzitii P(s′|s,a) si nici R(s) , , ▶ ˆInv˘atarea pasiv˘a este o modalitate de explorare a mediului.",narrative
24,IA_8.pdf_p7,", FII,UAIC Curs8 IA2025/2026 7/41",narrative
25,IA_8.pdf_p7,Politica este fix˘a is ˆın starea s execut˘aˆıntotdeauna actiunea π(s),diagram_extracted
26,IA_8.pdf_p7,Scopul is ˆınvat˘a cˆat de bun˘a este politica π,diagram_extracted
27,IA_8.pdf_p7,algoritmului Iterarea politicilor; diferenta is nu cunoastem modelul de,diagram_extracted
28,IA_8.pdf_p8,"ˆ Inv˘atarea pasiv˘a , ▶ Agentul execut˘a o serie deˆıncerc˘ari (trials) (1,1)−.04 ⇝(1,2)−.04 ⇝(1,3)−.04 ⇝(1,2)−.04 ⇝(1,3)−.04 ⇝(2,3)−.04 ⇝ (3,3)−.04 ⇝(4,3)+1 (1,1)−.04 ⇝(1,2)−.04 ⇝(1,3)−.04 ⇝(2,3)−.04 ⇝(3,3)−.04 ⇝(3,2)−.04 ⇝ (3,3)−.04 ⇝(4,3)+1 (1,1)−.04 ⇝(2,1)−.04 ⇝(3,1)−.04 ⇝(3,2)−.04 ⇝(4,2)−1 ▶ Politica este aceeasi, dar mediul este nedeterminist , ▶ Scopul este s˘aˆınvete utilitatea asteptat˘a Uπ(s) = E [ (cid:80)∞ γtR(S )] , , t=0 t FII,UAIC Curs8 IA2025/2026 8/41",narrative
29,IA_8.pdf_p8,▶ Uπ(s) (cid is 80)∞ γtR(S,diagram_extracted
30,IA_8.pdf_p9,"Con¸tinut Introducere ˆInv˘atarea pasiv˘a , Bazat˘a pe model: ADP (Adaptive Dynamic Programming) F˘ar˘a model: Estimarea direct˘a a utilit˘atii , F˘ar˘a model: ˆInv˘atarea diferentelor temporale , , ˆInv˘atarea activ˘a , Q-learning Deep Q-learning Concluzii FII,UAIC Curs8 IA2025/2026 9/41",narrative
34,IA_8.pdf_p10,"ˆ Inv˘atarea bazat˘a pe model: Programarea dinamic˘a , adaptiv˘a (ADP) 1.",narrative
35,IA_8.pdf_p10,"ˆInv˘at˘am modelul de tranzitii , , Estim˘am P(s′|s,π(s)) si R(s) dinˆıncerc˘ari.",narrative
36,IA_8.pdf_p10,", Utiliz˘am un tabel de probabilit˘ati.",narrative
37,IA_8.pdf_p10,"Estim˘am probabilitatea de , tranzitie.",narrative
38,IA_8.pdf_p10,Cˆat de des apare rezultatul unei actiuni?,narrative
39,IA_8.pdf_p10,", , Exemplu: (1,1)−.04 ⇝(1,2)−.04 ⇝(1,3)−.04 ⇝(1,2)−.04 ⇝(1,3)−.04 ⇝(2,3)−.04 ⇝(3,3)−.04 ⇝(4,3)+1 (1,1)−.04 ⇝(1,2)−.04 ⇝(1,3)−.04 ⇝(2,3)−.04 ⇝(3,3)−.04 ⇝(3,2)−.04 ⇝(3,3)−.04 ⇝(4,3)+1 (1,1)−.04 ⇝(2,1)−.04 ⇝(3,1)−.04 ⇝(3,2)−.04 ⇝(4,2)−1 Actiunea Right este executat˘a de 3 oriˆın starea (1,3) siˆın 2 cazuri , , starea care rezult˘a este (2,3) =⇒ P((2,3)|(1,3),Right) = 2/3 2.",narrative
40,IA_8.pdf_p10,"Rezolv˘am MDP FII,UAIC Curs8 IA2025/2026 10/41",narrative
41,IA_8.pdf_p10,Inv˘atarea bazat˘a pe model is Programarea dinamic˘a,diagram_extracted
42,IA_8.pdf_p11,Programarea dinamic˘a adaptiv˘a (ADP) 1.,narrative
43,IA_8.pdf_p11,"ˆInv˘atarea modelului empiric , Exemplu: FII,UAIC Curs8 IA2025/2026 11/41",narrative
44,IA_8.pdf_p12,Programarea dinamic˘a adaptiv˘a 2.,narrative
45,IA_8.pdf_p12,Utiliz˘am programarea dinamic˘a pentru rezolvarea procesului de decizie Markov.,narrative
46,IA_8.pdf_p12,"Probabilit˘atile si recompenseleˆınv˘atate se introducˆın ecuatiile , , , , Bellman (politica fix˘a).",narrative
47,IA_8.pdf_p12,"(cid:88) Uπ(s) = R(s)+γ P(s′|s,π(s))Uπ(s′) s′ Se rezolv˘a sistemul de ecuatii liniare cu necunoscutele Uπ(s).",narrative
48,IA_8.pdf_p12,", ADP este ineficient˘a dac˘a spatiul st˘arilor este mare.",narrative
49,IA_8.pdf_p12,", ▶ Sistem de ecuatii liniare de ordin n , ▶ Jocul de table: 1020 ecuatii cu 1020 necunoscute , FII,UAIC Curs8 IA2025/2026 12/41",narrative
50,IA_8.pdf_p12,(cid is 88),diagram_extracted
51,IA_8.pdf_p12,Jocul de table is 1020 ecuatii cu 1020 necunoscute,diagram_extracted
52,IA_8.pdf_p13,"Con¸tinut Introducere ˆInv˘atarea pasiv˘a , Bazat˘a pe model: ADP (Adaptive Dynamic Programming) F˘ar˘a model: Estimarea direct˘a a utilit˘atii , F˘ar˘a model: ˆInv˘atarea diferentelor temporale , , ˆInv˘atarea activ˘a , Q-learning Deep Q-learning Concluzii FII,UAIC Curs8 IA2025/2026 13/41",narrative
