id,source,original_text,type
0,IA_8.pdf_p1,Reinforcement learning (II) AI 2025/2026,narrative
1,IA_8.pdf_p2,"Content Introduction Passive learning Model-based learning: Adaptive dynamic programming Model-free learning: Direct utility estimation Model-free learning: Temporal-Difference learning Active learning Q-learning Deep Q-learning Conclusions FII,UAIC Lecture8 AI2025/2026 2/41",narrative
2,IA_8.pdf_p2,Model-based learning is Adaptive dynamic programming,diagram_extracted
3,IA_8.pdf_p2,Model-free learning is Direct utility estimation,diagram_extracted
4,IA_8.pdf_p2,Model-free learning is Temporal-Difference learning,diagram_extracted
5,IA_8.pdf_p3,"Reinforcement learning ▶ Markov decision process (MDP) ▶ Reinforcement learning ▶ The set of states S, the set of ▶ It is based on MDPs, but: actions A ▶ ▶ The transition model is The transition model unknown P(s′|s,a) is known ▶ ▶ The reward function is The reward function R(s) is unknown known ▶ ▶ Learn an optimal policy Computes an optimal policy FII,UAIC Lecture8 AI2025/2026 3/41",narrative
6,IA_8.pdf_p4,Types of reinforcement learning ▶ Passive: the agent learns the utility of being in certain states.,narrative
7,IA_8.pdf_p4,The agent executes a fixed policy and evaluates it.,narrative
8,IA_8.pdf_p4,The agent has no control over his actions; applications: robotics.,narrative
9,IA_8.pdf_p4,▶ Active: the agent must learn what to do.,narrative
10,IA_8.pdf_p4,The agent must explore the environment and use the learned information.,narrative
11,IA_8.pdf_p4,The agent updates its policy as it learns.,narrative
12,IA_8.pdf_p4,"FII,UAIC Lecture8 AI2025/2026 4/41",narrative
13,IA_8.pdf_p4,Passive is the agent learns the utility of being in certain states.,diagram_extracted
14,IA_8.pdf_p4,The agent has no control over his actions; applications is robotics.,diagram_extracted
15,IA_8.pdf_p4,Active is the agent must learn what to do.,diagram_extracted
16,IA_8.pdf_p5,"Types of reinforcement learning ▶ Model-based: learn the model of transitions and rewards and use it to discover the optimal policy ▶ Model-free: discover the optimal policy without learning the model FII,UAIC Lecture8 AI2025/2026 5/41",narrative
17,IA_8.pdf_p5,Model-based is learn the model of transitions and rewards and use it to,diagram_extracted
18,IA_8.pdf_p5,Model-free is discover the optimal policy without learning the model,diagram_extracted
19,IA_8.pdf_p6,"Content Introduction Passive learning Model-based learning: Adaptive dynamic programming Model-free learning: Direct utility estimation Model-free learning: Temporal-Difference learning Active learning Q-learning Deep Q-learning Conclusions FII,UAIC Lecture8 AI2025/2026 6/41",narrative
23,IA_8.pdf_p7,Passive learning ▶ The policy is fixed: always execute action π(s) in state s ▶ The goal: learn how good is the policy π ▶ learn the utility Uπ(s) of each state how?,narrative
24,IA_8.pdf_p7,"execute the policy and learn from experience ▶ similar approach to step (1) policy evaluation from the Policy iteration algorithm; the difference: doesn’t know the transition model P(s′|s,a) and R(s) Passive learning is a way of exploring the environment.",narrative
25,IA_8.pdf_p7,"FII,UAIC Lecture8 AI2025/2026 7/41",narrative
26,IA_8.pdf_p7,The policy is fixed is always execute action π(s) in state s,diagram_extracted
27,IA_8.pdf_p7,The goal is learn how good is the policy π,diagram_extracted
28,IA_8.pdf_p7,"algorithm; the difference is doesn’t know the transition model P(s′|s,a)",diagram_extracted
29,IA_8.pdf_p8,"Passive learning ▶ The agent performs a series of trials (episodes) (1,1)−.04 ⇝(1,2)−.04 ⇝(1,3)−.04 ⇝(1,2)−.04 ⇝(1,3)−.04 ⇝(2,3)−.04 ⇝ (3,3)−.04 ⇝(4,3)+1 (1,1)−.04 ⇝(1,2)−.04 ⇝(1,3)−.04 ⇝(2,3)−.04 ⇝(3,3)−.04 ⇝(3,2)−.04 ⇝ (3,3)−.04 ⇝(4,3)+1 (1,1)−.04 ⇝(2,1)−.04 ⇝(3,1)−.04 ⇝(3,2)−.04 ⇝(4,2)−1 ▶ The policy is the same, but the environment is non-deterministic ▶ The goal is to learn the expected utility Uπ(s) = E [ (cid:80)∞ γtR(S )] t=0 t FII,UAIC Lecture8 AI2025/2026 8/41",narrative
30,IA_8.pdf_p8,▶ Uπ(s) (cid is 80)∞ γtR(S,diagram_extracted
31,IA_8.pdf_p9,"Content Introduction Passive learning Model-based learning: Adaptive dynamic programming Model-free learning: Direct utility estimation Model-free learning: Temporal-Difference learning Active learning Q-learning Deep Q-learning Conclusions FII,UAIC Lecture8 AI2025/2026 9/41",narrative
35,IA_8.pdf_p10,Model-based learning: Adaptive dynamic programming (ADP) 1.,narrative
36,IA_8.pdf_p10,"Learn the transition model Estimate P(s′|s,π(s)) and R(s) from trials.",narrative
37,IA_8.pdf_p10,Use a table of probabilities: compute how often the result of an action occurs and estimate the transition probability.,narrative
38,IA_8.pdf_p10,"Example: (1,1)−.04 ⇝(1,2)−.04 ⇝(1,3)−.04 ⇝(1,2)−.04 ⇝(1,3)−.04 ⇝ (2,3)−.04 ⇝(3,3)−.04 ⇝(4,3)+1 (1,1)−.04 ⇝(1,2)−.04 ⇝(1,3)−.04 ⇝(2,3)−.04 ⇝(3,3)−.04 ⇝(3,2)−.04 ⇝ (3,3)−.04 ⇝(4,3)+1 (1,1)−.04 ⇝(2,1)−.04 ⇝(3,1)−.04 ⇝(3,2)−.04 ⇝(4,2)−1 The action Right is executed 3 times in state (1,3) and in 2 cases the result is state (2,3) =⇒ P((2,3)|(1,3),Right) = 2/3 2.",narrative
