question_id,source,generated_question,correct_answer
2,IA_8.pdf_p2,Is model-based learning Adaptive dynamic programming?,Model-based learning is Adaptive dynamic programming
3,IA_8.pdf_p2,Is model-free learning Direct utility estimation?,Model-free learning is Direct utility estimation
4,IA_8.pdf_p2,Is model-free learning Temporal-Difference learning?,Model-free learning is Temporal-Difference learning
8,IA_8.pdf_p4,Has the agent no control over his actions ; applications : robotics ?,The agent has no control over his actions; applications: robotics.
13,IA_8.pdf_p4,Is Passive the agent learns the utility of being in certain states ?,Passive is the agent learns the utility of being in certain states.
14,IA_8.pdf_p4,Has the agent no control over his actions ; applications is robotics ?,The agent has no control over his actions; applications is robotics.
15,IA_8.pdf_p4,Is Active the agent must learn what to do ?,Active is the agent must learn what to do.
17,IA_8.pdf_p5,Is model-based learn the model of transitions and rewards and use it to?,Model-based is learn the model of transitions and rewards and use it to
18,IA_8.pdf_p5,Is Model-free discover the optimal policy without learning the model?,Model-free is discover the optimal policy without learning the model
23,IA_8.pdf_p7,Is the policy fixed is always execute action π ( s ) in state s?,The policy is fixed is always execute action π(s) in state s
24,IA_8.pdf_p7,Is the goal learn how good is the policy π?,The goal is learn how good is the policy π
25,IA_8.pdf_p7,"Is algorithm ; the difference doesn ’ t know the transition model P ( s′|s , a )?","algorithm; the difference is doesn’t know the transition model P(s′|s,a)"
42,IA_8.pdf_p12,Is ( cid 88 )?,(cid is 88)
43,IA_8.pdf_p12,Is backgammon equations with unknowns?,backgammon is equations with unknowns
47,IA_8.pdf_p14,"Is example ( 1,1 )?","Example is (1,1)"
48,IA_8.pdf_p14,Is estimated utility mean of sampled values?,Estimated utility is mean of sampled values
49,IA_8.pdf_p15,What are Direct utility estimation ▶ Assume utilities?,Direct utility estimation ▶ Assume utilities are independent (false).
53,IA_8.pdf_p17,Are actions decided by policy π ?,Actions are decided by policy π.
54,IA_8.pdf_p17,Are ▶ The utilities adjusted after each observed transition ?,▶ The utilities are adjusted after each observed transition.
59,IA_8.pdf_p17,"Is Goal estimate utilities Uπ ( s ) , given the episodes generated using?","Goal is estimate utilities Uπ(s), given the episodes generated using"
60,IA_8.pdf_p17,"Is after 1st trial the estimates Uπ ( 1,3 ) =0.84 , Uπ ( 2,3 ) =0.92 ?","After 1st trial is the estimates Uπ(1,3)=0.84,Uπ(2,3)=0.92."
61,IA_8.pdf_p17,"Is 2nd trial the transition ( 1,3 ) → ( 2,3 ) ?","2nd trial is the transition (1,3)→(2,3)."
65,IA_8.pdf_p18,Is Obs the method doesn ’ t need a transitions model to perform the?,Obs is the method doesn’t need a transitions model to perform the
67,IA_8.pdf_p19,Is temporal difference learning pseudocode?,Temporal difference learning is pseudocode
68,IA_8.pdf_p19,Is Demo https : //cs.stanford.edu/people/karpathy/reinforcejs/gridworld_td.html?,Demo is https://cs.stanford.edu/people/karpathy/reinforcejs/gridworld_td.html
70,IA_8.pdf_p20,Is temporal difference learning example?,Temporal difference learning is example
83,IA_8.pdf_p26,Is Exploitation-exploration dilemma solutions?,Exploitation-exploration dilemma is solutions
93,IA_8.pdf_p30,Is q-learning algorithm pseudocode?,Q-Learning algorithm is pseudocode
96,IA_8.pdf_p31,Is https //huggingface.co/learn/deep-rl-course/unit2/q-learning-example?,https is //huggingface.co/learn/deep-rl-course/unit2/q-learning-example
100,IA_8.pdf_p32,Is example Windy Gridworld?,Example is Windy Gridworld
101,IA_8.pdf_p32,Is http //www.incompleteideas.net/book/ebook/node64.html?,http is //www.incompleteideas.net/book/ebook/node64.html
104,IA_8.pdf_p34,Is input a state?,input is a state
105,IA_8.pdf_p34,"Is output an estimate of Q , for each possible action?","output is an estimate of Q, for each possible action"
109,IA_8.pdf_p35,Is the loss function the mean squared error of the predicted Q value?,The loss function is the mean squared error of the predicted Q value
110,IA_8.pdf_p35,"Is the target value target ( s′ ) = r +γmax Q ( s′ , a′ )?","the target value is target(s′) = r +γmax Q(s′,a′)"
111,IA_8.pdf_p35,Is description https : //deeplearningmath.org/deep-reinforcement-learning.html?,Description is https://deeplearningmath.org/deep-reinforcement-learning.html
112,IA_8.pdf_p35,Is Demo https : //cs.stanford.edu/people/karpathy/reinforcejs/?,Demo is https://cs.stanford.edu/people/karpathy/reinforcejs/
115,IA_8.pdf_p36,Is experience replay store the experiences and use them for?,experience replay is store the experiences and use them for
125,IA_8.pdf_p41,Is artificial Intelligence A modern Approach . Ch . 21 . Reinforcement?,Artificial Intelligence is A modern Approach. Ch. 21. Reinforcement
126,IA_8.pdf_p41,Is http //incompleteideas.net/book/RLbook2020.pdf?,http is //incompleteideas.net/book/RLbook2020.pdf
128,IA_3.pdf_p1,Is week 3 informed strategies and alternative problem spaces?,Week 3 is informed strategies and alternative problem spaces
130,IA_3.pdf_p2,Is Problem finding a path in a graph?,Problem is finding a path in a graph
132,IA_3.pdf_p4,Is common sense as good as a mathematical proof ?,Common sense is as good as a mathematical proof.
133,IA_3.pdf_p4,Are statistical proofs hard to get and largely irrelevant ?,Statistical proofs are hard to get and largely irrelevant.
138,IA_3.pdf_p5,"Is Heuristic function applied to any state , returns extreme and?","Heuristic is function applied to any state, returns extreme and"
140,IA_3.pdf_p6,"Is below , h a distance ?","Below, h is a distance."
144,IA_3.pdf_p6,Is requiring that a node included in a path ( solution ) should estimate at least as lengthy paths ?,Requiring that a node is included in a path (solution) should estimate at least as lengthy paths.
148,IA_3.pdf_p7,"Should h always be relatively easy to compute , good enough is enough?","h should always be relatively easy to compute, good enough is enough"
155,IA_3.pdf_p10,Is Best case gets you to the final?,Best case is gets you to the final
156,IA_3.pdf_p10,Is Worst case DFS with bad?,Worst case is DFS with bad
158,IA_3.pdf_p11,Is h not a distance !?,h is not a distance!
159,IA_3.pdf_p11,"Is h ( ) = min , h ( FS ) = max h ( NewState ) ≥ h ( CurrentState ) solution?","h(IS) = min, h(FS) = max h(NewState) ≥ h(CurrentState) solution"
163,IA_3.pdf_p12,Is Best case fastest general?,Best case is fastest general
164,IA_3.pdf_p12,Is Worst case fails to find a?,Worst case is fails to find a
165,IA_3.pdf_p12,Is https //www.youtube.com/watch ? v=j1H3jAAGlEA & l?,https is //www.youtube.com/watch?v=j1H3jAAGlEA&l
170,IA_3.pdf_p14,Is http //www.cse.iitm.ac.in/~vplab/courses/optimization/SA_SEL_SLIDES.pdf?,http is //www.cse.iitm.ac.in/~vplab/courses/optimization/SA_SEL_SLIDES.pdf
172,IA_3.pdf_p15,Should the list be re-sorted and extra states removed after every new explored state ?,The list should be re-sorted and extra states removed after every new explored state.
176,IA_3.pdf_p16,Is https //www.redblobgames.com/pathfinding/a-star/introduction.html?,https is //www.redblobgames.com/pathfinding/a-star/introduction.html
177,IA_3.pdf_p16,Is https //adrianstoll.com/post/a-star-pathfinding-algorithm-animation/?,https is //adrianstoll.com/post/a-star-pathfinding-algorithm-animation/
185,IA_3.pdf_p21,"Is consistent heuristic h ( A ) ≤ h ( A , B ) + h ( B ) if B is reachable from A?","Consistent heuristic is h(A) ≤ h(A,B) + h(B) if B is reachable from A"
190,IA_3.pdf_p22,Are ● you sure the state representation is good enough ??,● Are you sure the state representation is good enough?
192,IA_3.pdf_p23,Is stochastic known possibilities?,Stochastic is known possibilities
193,IA_3.pdf_p23,Is non-deterministic known?,Non-deterministic is known
195,IA_3.pdf_p24,Is partially observable problem space you know what could happen?,Partially observable problem space is you know what could happen
197,IA_3.pdf_p25,Is unknowable problem space you don ’ t know what could happen?,Unknowable problem space is you don’t know what could happen
199,IA_3.pdf_p26,Is next week Constraint satisfaction problems ( Variable based models )?,Next week is Constraint satisfaction problems (Variable based models)
203,IA_3.pdf_p27,Is week 5 Games?,Week 5 is Games
207,IA_9.pdf_p3,Is what knowledge ??,What is knowledge?
210,IA_9.pdf_p3,"Is intelligence asking the right question , knowledge is having the right answer ?","Intelligence is asking the right question, knowledge is having the right answer."
212,IA_9.pdf_p4,Can Knowledge supplement a slow or insufficient intelligence ?,Knowledge can supplement a slow or insufficient intelligence.
